month,depth,temperature,salinity,density,oxygen
Jan,340,18.2596868217054,36.5550263565891,26.4170519454701,202.688945736434
Jan,350,18.2096015503876,36.5486124031008,26.4250836686578,202.391534883721
Jan,360,18.1550201550388,36.5409007751938,26.4332271674942,201.896713178295
Jan,370,18.0983162790698,36.5325488372093,26.441384124364,201.444217054264
Jan,380,18.0387534883721,36.5235400516796,26.4497216106296,200.936552971576
Jan,390,17.9735364341085,36.5131674418605,26.458370660979,200.043147286822
Jan,400,17.9051674418605,36.5020449612403,26.4671669930755,199.138387596899
Jan,410,17.830503875969,36.4896108527132,26.4764389090327,198.105364341085
Jan,420,17.7495209302326,36.475823255814,26.4861490550005,197.012852713178
Jan,430,17.6633023255814,36.461311627907,26.4964900423096,195.861069767442
Jan,440,17.5693534883721,36.4451782945736,26.5074120473181,194.725984496124
Jan,450,17.4713534883721,36.4282108527132,26.518579508355,193.576713178295
Jan,460,17.3640434108527,36.4095984496124,26.5305930173106,192.412387596899
Jan,470,17.251465503876,36.3898647286822,26.542916772233,191.113782945736
Jan,480,17.1196095607235,36.3667715762274,26.557110263811,189.85280878553
Jan,490,16.9878357881137,36.3439133074935,26.5712501316572,188.803142118863
Jan,500,16.8701542635659,36.3235516795866,26.5837822684942,187.735896640827
Jan,510,16.8563716666667,36.3186816666667,26.5837374758175,186.37255
Jan,520,16.7168363636364,36.2943563636364,26.5981682330188,185.319781818182
Jan,530,16.5691054545455,36.26884,26.6135147593953,184.294509090909
Jan,540,16.4288666666667,36.2444518518519,26.6277875845259,183.35662962963
Jan,550,16.2660037037037,36.216437037037,26.6443248401151,182.509851851852
Jan,560,16.095562962963,36.1873888888889,26.661587652104,181.804222222222
Jan,570,15.9301925925926,36.1593740740741,26.6781891936144,181.172962962963
Jan,580,15.7683185185185,36.1323222222222,26.6943819216288,180.699
Jan,590,15.5984666666667,36.1036037037037,26.7107828691676,179.912666666667
Jan,600,15.4115530864198,36.0725080246914,26.7288456125375,179.007135802469
Jan,610,15.2378490566038,36.0436264150943,26.7453110751806,178.385849056604
Jan,620,15.0520188679245,36.0128113207547,26.7626703867952,177.290905660377
Jan,630,14.8663698113208,35.9827735849057,26.7803118209122,176.076377358491
Jan,640,14.6760188679245,35.952358490566,26.7983004345376,174.834943396226
Jan,650,14.4831735849057,35.9218264150943,26.8163204984645,173.674226415094
Jan,660,14.2766716981132,35.8893018867925,26.8352433643822,172.511509433962
Jan,670,14.0581886792453,35.8554754716981,26.8552531492509,171.082943396226
Jan,680,13.845279245283,35.8233459119497,26.8750196014124,169.832132075472
Jan,690,13.6402471698113,35.7929757861635,26.8939835588883,168.660462264151
Jan,700,13.4311993710692,35.762355345912,26.9130505079806,167.359289308176
Jan,710,13.2084867924528,35.7298716981132,26.9330526056083,165.912641509434
Jan,720,12.9947471698113,35.6990377358491,26.9520347005087,164.55641509434
Jan,730,12.7742528301887,35.6681886792453,26.9717164297619,163.390188679245
Jan,740,12.5478905660377,35.6367358490566,26.99133650024,162.106150943396
Jan,750,12.3271622641509,35.6063320754717,27.0103299318794,160.680377358491
Jan,760,12.1063471698113,35.5764830188679,27.0293811973173,159.38758490566
Jan,770,11.8742264150943,35.5453433962264,27.0491644300352,158.115622641509
Jan,780,11.6510641509434,35.5166327044025,27.0685837011025,157.057150943396
Jan,790,11.4276377358491,35.4878490566038,27.0877422883225,156.054188679245
Jan,800,11.190520754717,35.4578452830189,27.1079261098623,155.212188679245
Jan,810,10.9474603773585,35.4282603773585,27.1289299527477,154.616905660377
Jan,820,10.7094867924528,35.3999358490566,27.1494338648807,154.187056603774
Jan,830,10.4895773584906,35.3745396226415,27.1687561203265,153.876754716981
Jan,840,10.2464377358491,35.3470830188679,27.1903064624732,153.607886792453
Jan,850,10.001641509434,35.3209018867925,27.2127119897717,153.849169811321
Jan,860,9.75331320754717,35.296079245283,27.2361474639365,154.670754716981
Jan,870,9.52649433962264,35.2753433962264,27.258480062601,155.888264150943
Jan,880,9.30373899371069,35.2558182389937,27.2804086641625,157.306270440252
Jan,890,9.09624150943396,35.2397396226415,27.302076368636,159.119849056604
Jan,900,8.88629433962264,35.2234528301887,27.3235861657691,160.985698113208
Jan,910,8.6854,35.2083886792453,27.3439694554789,162.879735849057
Jan,920,8.4980679245283,35.196562264151,27.3643449160132,165.091018867925
Jan,930,8.33369811320755,35.1861094339623,27.3817452220782,167.201735849057
Jan,940,8.14838867924528,35.1754113207547,27.4020966967024,169.720679245283
Jan,950,7.98742264150943,35.1674,27.4204921252655,172.095698113208
Jan,960,7.81415408805031,35.1584899371069,27.4396200152685,174.875371069182
Jan,970,7.64936226415094,35.151241509434,27.4585563086631,177.685018867925
Jan,980,7.50481509433962,35.1457773584906,27.4755415491086,180.282075471698
Jan,990,7.37061509433962,35.1409132075472,27.4912163220031,182.792981132076
Jan,1000,7.2382427672956,35.1361672955975,27.5066241097155,185.306547169811
Jan,1010,7.111912,35.132448,27.5216611880046,187.7398
Jan,1020,6.979604,35.127964,27.5367855263552,190.35716
Jan,1030,6.85832,35.12324,27.5500337725839,192.77228
Jan,1040,6.740426,35.1190786666667,27.5630776456484,195.180133333333
Jan,1050,6.627564,35.115552,27.575774280486,197.65536
Jan,1060,6.532468,35.11342,27.5869899681733,199.87168
Jan,1070,6.444944,35.110616,27.5965548283457,201.95688
Jan,1080,6.355848,35.108092,27.6065949164228,203.89776
Jan,1090,6.262324,35.105804,27.6172581245848,206.1862
Jan,1100,6.182004,35.103264,27.6257635412584,208.30328
Jan,1110,6.100964,35.10052,27.6341495570784,210.3564
Jan,1120,6.03035133333333,35.099134,27.6422038532024,212.249546666667
Jan,1130,5.96489333333333,35.0970846666667,27.648986352888,213.98922
Jan,1140,5.903248,35.095232,27.6553693140047,215.60708
Jan,1150,5.83858,35.093408,27.6621920806846,217.3772
Jan,1160,5.780844,35.091672,27.6681294420668,219.01704
Jan,1170,5.719352,35.089632,27.674276948212,220.71076
Jan,1180,5.659956,35.08712,27.6797303937599,222.44472
Jan,1190,5.602612,35.084256,27.6846058783146,224.06496
Jan,1200,5.55395566666667,35.0815803333333,27.6884880330208,225.45666
Jan,1210,5.42088148148148,35.0756222222222,27.7002098202143,228.067555555556
Jan,1220,5.3725037037037,35.0732592592593,27.7042307901023,229.221555555556
Jan,1230,5.3213037037037,35.0708296296296,27.7085630786755,230.663111111111
Jan,1240,5.28566666666667,35.0703481481482,27.7125668317142,231.783407407407
Jan,1250,5.2392,35.0672592592593,27.7157062794011,233.070222222222
Jan,1260,5.19662222222222,35.0642962962963,27.7184637192681,234.291555555556
Jan,1270,5.15725925925926,35.0624814814815,27.7217794289382,235.401407407407
Jan,1280,5.12103086419753,35.0611617283951,27.7250967794919,236.497333333333
Jan,1290,5.08605925925926,35.0599777777778,27.7283371174979,237.435777777778
Jan,1300,5.04918518518519,35.0578148148148,27.7309827645969,238.287777777778
