type,date,year,month,day,observation_number,track,latitude,longitude,amplitude,speed_average,effective_radius,lat_origin,long_origin
cyclonic,1996-05-16,1996,5,16,22,99944,33.775214533652,-62.5962583480343,0.123977419354839,0.335312903225806,0.722583548677449,34.1057434082031,-61.138916015625
cyclonic,1996-06-15,1996,6,15.5,52.5,99944,33.6147560119629,-63.5219451904297,0.165843333333333,0.362986666666667,0.846309630963097,34.1057434082031,-61.138916015625
cyclonic,1996-07-16,1996,7,16,83,99944,33.4365129778462,-64.5678031675277,0.120851612903226,0.340970967741936,0.668679771202927,34.1057434082031,-61.138916015625
cyclonic,1996-08-08,1996,8,8.5,106.5,99944,33.1806452274323,-65.4256896972656,0.0623625,0.2757375,0.477694644464447,34.1057434082031,-61.138916015625
cyclonic,1996-04-28,1996,4,28.5,1.5,100178,32.3773880004883,-68.4672927856445,0.026075,0.135025,0.556818181818182,32.3816566467285,-68.3761291503906
cyclonic,1996-05-16,1996,5,16,19,100178,31.6471608684909,-69.2211146200857,0.0784258064516129,0.231796774193548,0.852661072558869,32.3816566467285,-68.3761291503906
cyclonic,1996-06-04,1996,6,4.5,38.5,100178,30.6651630401611,-70.4326934814453,0.0468625,0.2226875,0.58033303330333,32.3816566467285,-68.3761291503906
cyclonic,1996-04-27,1996,4,27,0,100180,27.8138389587402,-63.13818359375,0.0133,0.0886,0.518451845184519,27.8138389587402,-63.13818359375
cyclonic,1996-05-14,1996,5,14,17,100180,27.7094898223877,-63.7964782714844,0.0775,0.175775,1.03161566156616,27.8138389587402,-63.13818359375
cyclonic,1996-06-18,1996,6,18.5,52.5,100180,27.9209034442902,-64.9618148803711,0.0420458333333333,0.138754166666667,0.699144914491449,27.8138389587402,-63.13818359375
cyclonic,1996-07-16,1996,7,16,80,100180,28.027103054908,-65.4749322706653,0.0296451612903226,0.141545161290323,0.537135971661682,27.8138389587402,-63.13818359375
