month,depth,pressure,temperature,salinity,density,oxygen,fluorescence,BAC,PAR
1,1370,1384.57692307692,4.84257692307692,35.0489076923077,27.7481704646892,243.084384615385,0.367844444444444,0.0230761904761905,
1,1380,1394.57692307692,4.81696923076923,35.0475461538462,27.750086705143,243.697307692308,0.367644444444444,0.0238285714285714,
1,1390,1404.57692307692,4.78523076923077,35.0452384615385,27.7519352973702,244.360076923077,0.367733333333333,0.0233428571428571,
1,1400,1414.53846153846,4.76117115384615,35.0441865384615,27.7539049930628,245.015711538462,0.367555555555556,0.0232857142857143,
1,1410,1424.625,4.72739166666667,35.0419166666667,27.7559560222997,245.6335,0.366375,0.02477,
1,1420,1434.60869565217,4.71193913043478,35.041147826087,27.7571854650192,245.988347826087,0.366125,0.0256631578947368,
1,1430,1445,4.67519275362319,35.0375623188406,27.7585141383934,246.704347826087,0.366420833333333,0.0256385964912281,
1,1440,1455.39130434783,4.64206956521739,35.0346,27.7599328171029,247.45547826087,0.3661,0.0264315789473684,
1,1450,1465.39130434783,4.6170347826087,35.0326173913044,27.7612296457776,247.966,0.366125,0.0256315789473684,
1,1460,1475.39130434783,4.59453043478261,35.0310956521739,27.7625945096644,248.432608695652,0.36615,0.0256842105263158,
1,1470,1485.39130434783,4.56811304347826,35.0293304347826,27.7641895502061,249.035043478261,0.366125,0.0255052631578947,
1,1480,1495.39130434783,4.54370434782609,35.0274086956522,27.7654507955813,249.521652173913,0.366225,0.0257684210526316,
1,1490,1505.39130434783,4.52391304347826,35.0264695652174,27.7669617801742,249.991043478261,0.36625,0.0241789473684211,
1,1500,1513.39130434783,4.50646376811594,35.025347826087,27.768037275966,250.324347826087,0.366458333333333,0.0241754385964912,
2,0,4.27027027027027,20.1973767123288,36.6767876712329,25.9906478491095,222.355547945205,0.435853658536585,0.133929577464789,291.048484848485
2,10,10.6893203883495,20.1230285947712,36.6657037581699,26.0023650371916,222.03208699187,0.43595518018018,0.16277701754386,135.253780487805
2,20,20.3961352657005,20.1011248780488,36.6645395121951,26.0078190178137,222.057058252427,0.437290666666667,0.177975916230366,79.0209756097561
2,30,30.3961352657005,20.0860653658537,36.6631990243902,26.0113407201084,222.044485436893,0.437813333333333,0.192656544502618,56.3619512195122
2,40,40.3961352657005,20.0678224390244,36.6621375609756,26.0159377380038,221.879689320388,0.435829333333333,0.205728795811518,36.389756097561
